,Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people"
0,Mexico,North,2015,Lake,Filtration,6.06,7.12,3.93,4.28,8.28,7.89,3344,33.6,472
1,Brazil,West,2017,Well,Boiling,5.24,7.84,4.79,3.86,15.74,14.68,2122,89.54,122
2,Indonesia,Central,2022,Pond,,0.24,6.43,0.79,3.42,36.67,9.96,2330,35.29,274
3,Nigeria,East,2016,Well,Boiling,7.91,6.71,1.96,3.12,36.92,6.77,3779,57.53,3
4,Mexico,South,2005,Well,Filtration,0.12,8.16,4.22,9.15,49.35,12.51,4182,36.6,466
5,Ethiopia,West,2013,Tap,,2.93,8.21,4.03,8.66,31.35,16.74,880,69.48,258
6,China,East,2022,River,Boiling,0.06,6.11,3.12,6.97,44.98,1.23,2977,55.43,208
7,Mexico,Central,2024,Spring,,3.76,6.42,1.35,9.99,2.73,19.44,1172,44.17,397
8,Indonesia,North,2014,Well,,0.63,6.29,1.42,9.67,28.31,1.93,159,71.66,265
9,Nigeria,Central,2013,Well,Chlorination,9.14,6.45,0.62,7.59,45.99,10.23,2493,55.44,261
10,Brazil,South,2023,Well,Boiling,4.16,8.43,4.61,6.25,14.36,11.2,2129,41.68,286
11,Indonesia,West,2021,River,Chlorination,4.59,7.38,0.86,4.07,7.74,2.76,3078,79.01,30
12,Indonesia,West,2002,Pond,Chlorination,3.5,7.17,2.86,6.61,17.53,18.31,2229,88.58,175
13,China,South,2023,Lake,Boiling,6.28,8.46,2.92,4.1,39.61,9.43,2917,49.16,8
14,Bangladesh,East,2022,Tap,Boiling,7.84,7.39,1.85,5.79,4.24,2.86,3013,43.05,203
15,Nigeria,East,2018,River,Chlorination,6.48,7.65,1.76,9.6,30.02,14.23,1549,35.27,107
16,India,West,2024,Pond,,7.48,6.83,3.34,5.39,6.78,13.27,4573,66.95,123
17,Indonesia,West,2011,Well,,9.06,6.96,1.94,4.07,21.78,19.26,3385,88.19,237
18,Bangladesh,North,2001,Pond,Filtration,8.64,7.49,1.28,7.08,48.3,8.83,1579,47.56,409
19,India,East,2002,River,,6.74,6.17,2.0,7.22,9.76,5.36,3371,62.24,129
20,Nigeria,South,2017,River,Boiling,2.15,6.64,4.04,4.36,1.7,1.2,1960,41.26,233
21,USA,East,2000,River,Boiling,6.38,6.49,4.83,4.38,21.36,14.66,3844,58.29,3
